date|status|DOD|dateb_20190821
2019-01-27|dead|2019-01-27|pre
2019-01-25|dead|2019-01-25|pre
2019-01-25|dead|2019-01-25|pre
2019-01-25|dead|2019-01-25|pre
2019-01-25|dead|2019-01-25|pre
2019-01-24|dead|2019-01-24|pre
2019-01-24|dead|2019-01-24|pre
2019-01-22|dead|2019-01-22|pre
2019-01-21|dead|2019-01-21|pre
2019-01-21|dead|2019-01-21|pre
2019-01-21|dead|2019-01-21|pre
2019-01-21|dead|2019-01-21|pre
2019-01-20|dead|2019-01-20|pre
2019-01-19|dead|2019-01-19|pre
2019-01-19|dead|2019-01-19|pre
2019-01-19|dead|2019-01-19|pre
2019-01-18|dead|2019-01-18|pre
2019-01-18|dead|2019-01-18|pre
2019-01-17|dead|2019-01-17|pre
2019-01-16|dead|2019-01-16|pre
2019-01-15|dead|2019-01-15|pre
2019-01-14|dead|2019-01-14|pre
2019-01-14|dead|2019-01-14|pre
2019-01-14|dead|2019-01-14|pre
2019-01-13|dead|2019-01-13|pre
2019-01-10|dead|2019-01-10|pre
2019-01-10|dead|2019-01-10|pre
2019-01-09|dead|2019-01-09|pre
2019-01-09|dead|2019-01-09|pre
2019-01-08|dead|2019-01-08|pre
2019-01-07|dead|2019-01-07|pre
2019-01-06|dead|2019-01-06|pre
2019-01-06|dead|2019-01-06|pre
2019-01-04|dead|2019-01-04|pre
2019-01-04|dead|2019-01-04|pre
2019-01-03|dead|2019-01-03|pre
2019-01-01|dead|2019-01-01|pre
2019-01-01|dead|2019-01-01|pre
