Date|Status
2019-04-09|dead
2019-04-08|Not_dead
2019-04-08|dead
2019-04-08|Not_dead
2019-04-08|dead
2019-04-08|Not_dead
2019-04-07|Not_dead
2019-04-07|dead
2019-04-07|dead
2019-04-07|Not_dead
2019-04-06|dead
2019-04-06|dead
2019-04-06|dead
2019-04-06|dead
2019-04-05|dead
2019-04-05|Not_dead
2019-04-05|Not_dead
2019-04-04|dead
2019-04-04|dead
2019-04-03|dead
2019-04-03|Not_dead
2019-04-03|dead
2019-04-03|Not_dead
2019-04-03|dead
2019-04-02|dead
2019-04-02|dead
2019-04-01|dead
2019-04-01|dead
2019-04-01|Not_dead
2019-04-01|Not_dead
2019-04-01|dead
2019-04-01|Not_dead
2019-03-30|dead
2019-03-29|dead
2019-03-29|dead
2019-03-29|Not_dead
2019-03-29|Not_dead
2019-03-29|dead
2019-03-28|dead
2019-03-27|dead
2019-03-27|dead
2019-03-27|dead
2019-03-26|dead
2019-03-26|Not_dead
2019-03-26|dead
2019-03-26|dead
2019-03-25|dead
2019-03-25|dead
2019-03-24|dead
2019-03-24|dead
2019-03-24|dead
2019-03-24|Not_dead
2019-03-24|dead
2019-03-23|dead
2019-03-23|dead
2019-03-23|Not_dead
2019-03-22|dead
2019-03-22|Not_dead
2019-03-22|dead
2019-03-22|dead
2019-03-21|dead
2019-03-21|dead
2019-03-20|dead
2019-03-19|dead
2019-03-19|Not_dead
2019-03-19|Not_dead
2019-03-19|dead
2019-03-19|dead
2019-03-18|Not_dead
2019-03-18|dead
2019-03-18|dead
2019-03-17|Not_dead
2019-03-15|Not_dead
2019-03-15|dead
2019-03-15|dead
2019-03-15|dead
2019-03-15|dead
2019-03-15|Not_dead
2019-03-14|dead
2019-03-14|dead
2019-03-14|dead
2019-03-13|dead
2019-03-13|dead
2019-03-12|dead
2019-03-12|dead
2019-03-12|dead
2019-03-12|dead
2019-03-12|dead
2019-03-11|dead
2019-03-11|dead
2019-03-10|dead
2019-03-09|dead
2019-03-09|Not_dead
2019-03-08|dead
2019-03-08|dead
2019-03-07|Not_dead
2019-03-06|dead
2019-03-06|Not_dead
2019-03-06|Not_dead
2019-03-05|dead
2019-03-04|dead
2019-03-03|dead
2019-03-02|dead
2019-03-02|Not_dead
2019-03-02|dead
2019-03-02|Not_dead
2019-03-01|dead
2019-03-01|Not_dead
2019-03-01|dead
2019-03-01|Not_dead
2019-02-28|Not_dead
2019-02-28|Not_dead
2019-02-28|dead
2019-02-28|dead
2019-02-28|dead
2019-02-27|dead
2019-02-27|dead
2019-02-27|dead
2019-02-27|dead
2019-02-27|Not_dead
2019-02-26|dead
2019-02-26|dead
2019-02-26|Not_dead
2019-02-26|Not_dead
2019-02-26|dead
2019-02-25|dead
2019-02-25|dead
2019-02-25|dead
2019-02-25|dead
2019-02-25|dead
2019-02-25|Not_dead
2019-02-25|Not_dead
2019-02-24|dead
2019-02-24|dead
2019-02-24|dead
2019-02-23|Not_dead
2019-02-23|dead
2019-02-23|dead
2019-02-23|Not_dead
2019-02-22|dead
2019-02-22|dead
2019-02-21|dead
2019-02-21|Not_dead
2019-02-21|dead
2019-02-20|dead
2019-02-20|Not_dead
